,rank,finalWorth,age,selfMade,is_male,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
377,365,6700,92.0,True,True,-1243072800.0,1930.0,8.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
378,365,6700,71.0,True,True,-575114400.0,1951.0,10.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
379,365,6700,39.0,False,False,422024400.0,1983.0,5.0,18.0,110.35,0.8,348078018464,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
380,365,6700,81.0,True,True,-895917600.0,1941.0,8.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
381,365,6700,65.0,True,True,-378727200.0,1958.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
382,383,6600,47.0,False,False,189266400.0,1976.0,1.0,1.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
383,383,6600,68.0,False,True,-495367200.0,1954.0,4.0,22.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
384,383,6600,70.0,False,True,-531396000.0,1953.0,3.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
385,383,6600,67.0,False,False,-443181600.0,1955.0,12.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
386,383,6600,78.0,True,True,-784202400.0,1945.0,2.0,25.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
387,383,6600,63.0,True,True,-322999200.0,1959.0,10.0,8.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
388,383,6600,47.0,False,False,189784800.0,1976.0,1.0,7.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
389,390,6500,80.0,True,True,-855136800.0,1942.0,11.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
390,390,6500,58.0,False,False,-169812000.0,1964.0,8.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
392,390,6500,93.0,False,False,-1257411600.0,1930.0,2.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
393,390,6500,84.0,True,True,-988884000.0,1938.0,9.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
395,390,6500,51.0,True,True,41090400.0,1971.0,4.0,22.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
396,397,6400,71.0,True,True,-579780000.0,1951.0,8.0,19.0,110.51,1.8,530832908738,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
397,397,6400,62.0,True,True,-307015200.0,1960.0,4.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
398,397,6400,69.0,True,True,-522324000.0,1953.0,6.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
399,397,6400,59.0,True,False,-194695200.0,1963.0,11.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
400,397,6400,60.0,True,True,-227700000.0,1962.0,10.0,15.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
402,397,6400,90.0,True,True,-1165399200.0,1933.0,1.0,27.0,140.95,3.5,323802808108,55.3,114.5,77.1,14.4,71.2,50339443.0,4.570868,-74.297333
403,397,6400,88.0,True,True,-1118224800.0,1934.0,7.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
404,405,6300,77.0,False,True,-763466400.0,1945.0,10.0,23.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
